NaClO4 80K NIR reflectance spectra from 0.35-2.5�m		
This is the data used to create Figure 1		
		
Wavelength (um	% Reflectance	normalized
0.951	0.295752552	0.854759067
0.952	0.295738157	0.854717466
0.953	0.295787439	0.854859897
0.954	0.295831116	0.854986129
0.955	0.295855572	0.855056809
0.956	0.295902514	0.855192478
0.957	0.295948961	0.855326713
0.958	0.296034002	0.855572493
0.959	0.296121296	0.855824781
0.96	0.296124624	0.8558344
0.961	0.296063412	0.855657491
0.962	0.296044919	0.855604045
0.963	0.296104528	0.855776319
0.964	0.296199193	0.856049913
0.965	0.296242731	0.856175742
0.966	0.296269192	0.856252217
0.967	0.296309612	0.856369036
0.968	0.296370779	0.856545817
0.969	0.296387687	0.856594682
0.97	0.296409262	0.856657038
0.971	0.296449111	0.856772203
0.972	0.296499586	0.856918084
0.973	0.296622154	0.857272318
0.974	0.296629199	0.857292679
0.975	0.29662235	0.857272886
0.976	0.29678504	0.857743078
0.977	0.296784153	0.857740515
0.978	0.296729599	0.857582848
0.979	0.296736261	0.857602101
0.98	0.296855029	0.857945354
0.981	0.296924669	0.858146621
0.982	0.296976031	0.858295065
0.983	0.297005144	0.858379206
0.984	0.29700051	0.85836581
0.985	0.296970479	0.85827902
0.986	0.29701749	0.858414885
0.987	0.297121565	0.858715676
0.988	0.297210236	0.858971943
0.989	0.297217808	0.858993827
0.99	0.297293123	0.859211497
0.991	0.29735628	0.859394028
0.992	0.297362427	0.859411792
0.993	0.297531472	0.859900355
0.994	0.297437534	0.859628863
0.995	0.297443483	0.859646055
0.996	0.29774093	0.860505712
0.997	0.297815959	0.860722555
0.998	0.297853843	0.860832043
0.999	0.297901473	0.860969699
1	0.297908847	0.860991012
1.001	0.297943542	0.861091283
1.002	0.29788823	0.860931425
1.003	0.297801112	0.860679644
1.004	0.297781893	0.860624099
1.005	0.297806278	0.860694576
1.006	0.297847333	0.860813228
1.007	0.297881826	0.860912917
1.008	0.297858994	0.86084693
1.009	0.297764672	0.860574328
1.01	0.297744752	0.860516758
1.011	0.297709213	0.860414047
1.012	0.297700092	0.860387683
1.013	0.297735559	0.860490188
1.014	0.297771094	0.860592888
1.015	0.297791317	0.860651334
1.016	0.297781423	0.860622741
1.017	0.297715025	0.860430842
1.018	0.297646388	0.860232473
1.019	0.297637	0.860205342
1.02	0.297601163	0.860101769
1.021	0.297579759	0.860039909
1.022	0.297612715	0.860135154
1.023	0.29759587	0.860086472
1.024	0.297517258	0.859859273
1.025	0.29746914	0.859720207
1.026	0.297412088	0.859555319
1.027	0.29740261	0.859527926
1.028	0.297416241	0.859567323
1.029	0.29744265	0.859643646
1.03	0.297551482	0.859958184
1.031	0.297556969	0.859974042
1.032	0.297540565	0.859926632
1.033	0.29751121	0.859841795
1.034	0.297445996	0.859653317
1.035	0.297472997	0.859731353
1.036	0.297491975	0.859786202
1.037	0.297437365	0.859628373
1.038	0.297410687	0.859551271
1.039	0.297356733	0.859395338
1.04	0.297335823	0.859334904
1.041	0.297356174	0.859393722
1.042	0.29736396	0.859416223
1.043	0.297352828	0.859384051
1.044	0.29737219	0.859440009
1.045	0.297430464	0.859608429
1.046	0.297431326	0.859610919
1.047	0.29740097	0.859523189
1.048	0.297416798	0.859568932
1.049	0.297367676	0.859426965
1.05	0.297296039	0.859219924
1.051	0.297301357	0.859235294
1.052	0.297322065	0.859295142
1.053	0.297301297	0.859235121
1.054	0.297256594	0.859105923
1.055	0.297242835	0.859066158
1.056	0.297216367	0.858989662
1.057	0.297190064	0.858913645
1.058	0.297176878	0.858875537
1.059	0.297181418	0.858888657
1.06	0.297194432	0.858926269
1.061	0.297201926	0.858947926
1.062	0.297161305	0.858830528
1.063	0.297151601	0.858802483
1.064	0.297141716	0.858773915
1.065	0.297034119	0.858462947
1.066	0.296979089	0.858303902
1.067	0.297011259	0.858396876
1.068	0.296976537	0.858296526
1.069	0.296954169	0.858231882
1.07	0.296954315	0.858232302
1.071	0.296996149	0.858353207
1.072	0.296974427	0.858290427
1.073	0.29695015	0.858220264
1.074	0.296915252	0.858119407
1.075	0.296801975	0.857792022
1.076	0.296764969	0.85768507
1.077	0.296752391	0.857648719
1.078	0.296781121	0.857731754
1.079	0.296783901	0.857739788
1.08	0.29678707	0.857748946
1.081	0.296803187	0.857795526
1.082	0.296738596	0.85760885
1.083	0.296664619	0.857395049
1.084	0.296705309	0.857512647
1.085	0.296700469	0.857498659
1.086	0.296661704	0.857386622
1.087	0.296641089	0.857327043
1.088	0.296645583	0.857340031
1.089	0.296635506	0.857310908
1.09	0.296605259	0.857223491
1.091	0.296614422	0.857249972
1.092	0.296681436	0.857443652
1.093	0.2966566	0.857371873
1.094	0.296599674	0.85720735
1.095	0.296622117	0.857272211
1.096	0.296612641	0.857244824
1.097	0.296581434	0.857154634
1.098	0.296631696	0.857299897
1.099	0.296634736	0.857308683
1.1	0.296537875	0.857028743
1.101	0.296525458	0.856992857
1.102	0.29653427	0.857018324
1.103	0.296552113	0.857069893
1.104	0.296542971	0.857043471
1.105	0.29657699	0.85714179
1.106	0.296578605	0.857146458
1.107	0.296521292	0.856980815
1.108	0.296521504	0.856981429
1.109	0.29658342	0.857160373
1.11	0.296569744	0.857120849
1.111	0.296548191	0.857058558
1.112	0.296569653	0.857120584
1.113	0.296569322	0.85711963
1.114	0.296598381	0.857203612
1.115	0.296668169	0.857405309
1.116	0.296669612	0.857409478
1.117	0.296633793	0.857305957
1.118	0.296642791	0.857331963
1.119	0.29666362	0.857392162
1.12	0.296699637	0.857496254
1.121	0.296714668	0.857539696
1.122	0.296744785	0.857626738
1.123	0.296768364	0.857694882
1.124	0.296766382	0.857689156
1.125	0.296770098	0.857699895
1.126	0.296797565	0.857779278
1.127	0.296799631	0.857785248
1.128	0.296743382	0.857622683
1.129	0.296758997	0.857667812
1.13	0.296807277	0.857807347
1.131	0.296805966	0.857803557
1.132	0.296817302	0.857836318
1.133	0.296808013	0.857809472
1.134	0.296775734	0.857716184
1.135	0.296778243	0.857723433
1.136	0.296791092	0.85776057
1.137	0.296858562	0.857955566
1.138	0.296868204	0.857983432
1.139	0.296849567	0.857929568
1.14	0.296844413	0.857914674
1.141	0.296816982	0.857835395
1.142	0.296800839	0.857788739
1.143	0.29678972	0.857756604
1.144	0.296798227	0.85778119
1.145	0.296795468	0.857773218
1.146	0.296815177	0.857830178
1.147	0.296821707	0.857849052
1.148	0.296789176	0.857755033
1.149	0.296777079	0.857720071
1.15	0.296768342	0.85769482
1.151	0.296741076	0.857616016
1.152	0.296743741	0.85762372
1.153	0.296769671	0.857698662
1.154	0.29676901	0.857696749
1.155	0.296756182	0.857659675
1.156	0.296753368	0.857651544
1.157	0.296732931	0.857592478
1.158	0.296673526	0.857420789
1.159	0.29663771	0.857317279
1.16	0.296607267	0.857229293
1.161	0.296585448	0.857166234
1.162	0.296569058	0.857118865
1.163	0.296567105	0.857113221
1.164	0.296570503	0.85712304
1.165	0.296539438	0.85703326
1.166	0.296511633	0.856952902
1.167	0.296506183	0.85693715
1.168	0.296483905	0.856872764
1.169	0.29647572	0.856849109
1.17	0.296500372	0.856920354
1.171	0.296504104	0.856931141
1.172	0.296504812	0.856933188
1.173	0.296511853	0.856953536
1.174	0.296524957	0.85699141
1.175	0.296522518	0.856984361
1.176	0.296527737	0.856999444
1.177	0.296556852	0.857083588
1.178	0.296567669	0.857114851
1.179	0.296570569	0.857123233
1.18	0.296567613	0.857114689
1.181	0.296565523	0.857108649
1.182	0.296562289	0.857099302
1.183	0.296558909	0.857089535
1.184	0.296563796	0.857103657
1.185	0.296581746	0.857155536
1.186	0.296590682	0.857181362
1.187	0.296601197	0.85721175
1.188	0.296626332	0.857284393
1.189	0.296639096	0.857321282
1.19	0.296643856	0.857335039
1.191	0.296654843	0.857366794
1.192	0.296672846	0.857418825
1.193	0.296679739	0.857438746
1.194	0.296672249	0.857417099
1.195	0.296681277	0.85744319
1.196	0.296708076	0.857520644
1.197	0.296713271	0.857535658
1.198	0.296715795	0.857542952
1.199	0.296716841	0.857545977
1.2	0.296709586	0.857525009
1.201	0.296681749	0.857444554
1.202	0.29665659	0.857371842
1.203	0.296639422	0.857322226
1.204	0.296618328	0.857261262
1.205	0.296598977	0.857205334
1.206	0.296605862	0.857225234
1.207	0.296635985	0.857312293
